names,opts
model_similar,"[[""Neither agree nor disagree"",""Somewhat agree"",""Somewhat disagree"",""Strongly agree"",""Strongly disagree""]]"
model_respect,"[[""Neither agree nor disagree"",""Somewhat agree"",""Strongly agree"",""Strongly disagree""]]"
model_friendly,"[[""Neither agree nor disagree"",""Somewhat agree"",""Somewhat disagree"",""Strongly agree"",""Strongly disagree""]]"
model_like,"[[""Neither agree nor disagree"",""Somewhat agree"",""Somewhat disagree"",""Strongly agree"",""Strongly disagree""]]"
model_txt,[[0]]
fem_exposure,"[["""",""Neither agree nor disagree"",""Somewhat agree"",""Somewhat disagree"",""Strongly agree""]]"
race_exposure,"[[""Neither agree nor disagree"",""Somewhat agree"",""Somewhat disagree"",""Strongly agree""]]"
parents_fem,"[[""Neither agree nor disagree"",""Somewhat agree"",""Somewhat disagree"",""Strongly agree"",""Strongly disagree""]]"
friends_fem,"[[""Neither agree nor disagree"",""Somewhat agree"",""Somewhat disagree"",""Strongly agree""]]"
parents_race,"[[""Neither agree nor disagree"",""Somewhat agree"",""Strongly agree"",""Strongly disagree""]]"
friends_race,"[[""Neither agree nor disagree"",""Somewhat agree"",""Somewhat disagree"",""Strongly agree"",""Strongly disagree""]]"
friends_cs,"[[""Neither agree nor disagree"",""Somewhat agree"",""Somewhat disagree"",""Strongly agree"",""Strongly disagree""]]"
mom_cs,"[["""",""Agree"",""Disagree"",""Neither agree nor disagree"",""Strongly Agree"",""Strongly disagree""]]"
dad_cs,"[["""",""Agree"",""Disagree"",""Neither agree nor disagree"",""Strongly Agree"",""Strongly disagree""]]"
model_gender,"[[""1"",""2"",""6""]]"
model_race,"[["""",""1"",""2"",""3"",""4""]]"
p_gender,"[["""",""0"",""1"",""2""]]"
p_race,"[["""",""1"",""2"",""3"",""4""]]"
condition,"[[""db"",""dg"",""dr"",""na""]]"
img,"[["""",""https://uclapsych.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3CObt5yCC0PPLxQ"",""https://uclapsych.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3Q3BKIBseInKDXw"",""https://uclapsych.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3sll63ZzgxLQ4OG"",""https://uclapsych.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_5nDL7Vd7gZ3yhYW"",""https://uclapsych.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_5sv67HRXyBhhgoe"",""https://uclapsych.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8J7frGAhJ6agLtA"",""https://uclapsych.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9EVYjue415Y3Jt4"",""https://uclapsych.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bdQzjBzrIimtLU2""]]"
